Hugo_Symbol	Entrez_Gene_Id	Center	Tumor_Sample_Barcode	Fusion	DNA_support	RNA_support	Method	Frame
RHOF		WashU	TCGA-OR-A5J1-01	RHOF-HEXDC				
PRLR		WashU	TCGA-OR-A5J1-01	PRLR-CLPTM1L				
KCTD5		WashU	TCGA-OR-A5J1-01	KCTD5-TSC2				in-frame
NCAPD2		WashU	TCGA-OR-A5J1-01	NCAPD2-MRPL48				
DAB2		WashU	TCGA-OR-A5J1-01	DAB2-ARSB				in-frame
TBCA		WashU	TCGA-OR-A5J1-01	TBCA-ARSB				frameshift
DAB2		WashU	TCGA-OR-A5J1-01	DAB2-COL4A3BP				
TBCD		WashU	TCGA-OR-A5J1-01	TBCD-GLIPR2				frameshift
C9		WashU	TCGA-OR-A5J1-01	C9-COL4A3BP				
CWC27		WashU	TCGA-OR-A5J1-01	CWC27-PLPP1				frameshift
DYNC1I1		WashU	TCGA-OR-A5J1-01	DYNC1I1-ASB4				in-frame
UIMC1		WashU	TCGA-OR-A5J1-01	UIMC1-DBN1				frameshift
KMT2A		WashU	TCGA-OR-A5J1-01	KMT2A-ATP5L				in-frame
MIER3		WashU	TCGA-OR-A5J1-01	MIER3-KIF2A				in-frame
RBM14		WashU	TCGA-OR-A5J1-01	RBM14-BBS1				
HNRNPUL1		WashU	TCGA-OR-A5J1-01	HNRNPUL1-CLIP3				
NRG4		WashU	TCGA-OR-A5J1-01	NRG4-SCNN1D				frameshift
TNPO1		WashU	TCGA-OR-A5J1-01	TNPO1-MEF2C				in-frame
PAPD4		WashU	TCGA-OR-A5J1-01	PAPD4-GPBP1				
GIGYF2		WashU	TCGA-OR-A5J1-01	GIGYF2-HSCB				frameshift
ASXL2		WashU	TCGA-OR-A5J2-01	ASXL2-PPWD1				in-frame
AJAP1		WashU	TCGA-OR-A5J2-01	AJAP1-CYTH3				frameshift
ASB4		WashU	TCGA-OR-A5J3-01	ASB4-DYNC1I1				
KIF1B		WashU	TCGA-OR-A5J7-01	KIF1B-FAM58A				in-frame
FLVCR2		WashU	TCGA-OR-A5J7-01	FLVCR2-BATF				in-frame
PRX		WashU	TCGA-OR-A5J7-01	PRX-BLVRB				frameshift
PDXK		WashU	TCGA-OR-A5J7-01	PDXK-RRP1B				
ASPSCR1		WashU	TCGA-OR-A5J7-01	ASPSCR1-HGS				frameshift
SCMH1		WashU	TCGA-OR-A5J7-01	SCMH1-CA6				in-frame
MAPKAPK5		WashU	TCGA-OR-A5J7-01	MAPKAPK5-ALDH2				in-frame
PEBP1		WashU	TCGA-OR-A5J7-01	PEBP1-DENND4B				frameshift
NFE2L1		WashU	TCGA-OR-A5J7-01	NFE2L1-NPEPPS				
NR5A1		WashU	TCGA-OR-A5J7-01	NR5A1-NR6A1				frameshift
CSNK1G1		WashU	TCGA-OR-A5J7-01	CSNK1G1-CS				
GTF2I		WashU	TCGA-OR-A5J7-01	GTF2I-FLAD1				
KDM4B		WashU	TCGA-OR-A5J7-01	KDM4B-CCDC94				
SBNO2		WashU	TCGA-OR-A5J7-01	SBNO2-TULP2				
TMEM87B		WashU	TCGA-OR-A5J7-01	TMEM87B-PVT1				
PGAP1		WashU	TCGA-OR-A5J7-01	PGAP1-HSPD1				in-frame
RCOR1		WashU	TCGA-OR-A5J7-01	RCOR1-PPP2R5C				in-frame
MAP4		WashU	TCGA-OR-A5J7-01	MAP4-ENPP7P14				
NDEL1		WashU	TCGA-OR-A5J7-01	NDEL1-KCNB1				
ELMSAN1		WashU	TCGA-OR-A5J7-01	ELMSAN1-ALDH6A1				
